//FORMAT=CTDPRO
//METADATA_DELIMITER=;
//DATA_DELIMITER=\t
//METADATA;MYEAR;2018
//METADATA;PROJ;BAS
//METADATA;ORDERER;HAV
//METADATA;SLABO;DEEP
//METADATA;ALABO;DEEP
//METADATA;SDATE;2018-04-16
//METADATA;STIME;08:16
//METADATA;EDATE;
//METADATA;ETIME;
//METADATA;SHIPC;77FY
//METADATA;CRUISE_NO;
//METADATA;SERNO;0028
//METADATA;STATN;BY31
//METADATA;LATIT;5835
//METADATA;LONGI;1814
//METADATA;POSYS;NOM
//METADATA;WADEP;
//METADATA;COMNT_VISIT;SDATE and STIME are based on when the CTD-cast was made
//METADATA;ADD_SMP;PHYCHE,PP,ZP,PRIMPROD
//METADATA;SMTYP;CTD
//METADATA;INSTRUMENT_ID;CTM469
//METADATA;REFSK_SMP;
//METADATA;REV_DATE;
//METADATA;FILE_NAME;By311804162.TOB
//METADATA;FILE_NAME_DATABASE;ctd_profile_20180416_77FY_0028.txt
//METADATA;WINDIR;32
//METADATA;WINSP;1
//METADATA;AIRTEMP;4
//METADATA;AIRPRES;
//METADATA;WEATH;2
//METADATA;CLOUD;8
//METADATA;WAVES;0
//METADATA;ICEOB;0
//METADATA;timestamp;2018-04-16 08:16:46
//SENSORINFO;INSTRUMENT_ID;INSTRUMENT_PROD;INSTRUMENT_MOD;INSTRUMENT_SERIE;VALIDFR;VALIDTO;PARAM_REPORTED;PARAM_SIMPLE;PARAM;MUNIT;CALCULATED;CALCULATE_REF;SENSOR_PROD;SENSOR_MOD;SENSOR_ID;CALIB_DATE;LMQNT;RANA;UNCERT;FREQ;MET_COMNT
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;tryck;tryck;PRES_CTD;;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;temperatur;temperatur;TEMP_CTD;;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;konduktivitet;konduktivitet;CNDC_CTD;;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;syre;syre;DOXY_CTD;;;;JFE Advantech Co;ARO-CAV;53;dec - 2018;;0 to 200%;0.01 to 0.04%;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;PAR-ljus;PAR-ljus;PAR_CTD;;;;Biospherical Instruments Inc.;QSP-2200;20475;dec - 2016;;400–700 nm;< 5%;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;tryck;tryck;tryck;;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;temperatur;temperatur;temperatur;;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;konduktivitet;konduktivitet;konduktivitet;;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;syre;syre;syre;;;;Sea & Sun;Optical Dissolved Oxygen Sensor;;2014;;0-250 % Sat;± 2 %;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;PAR-ljus;PAR-ljus;PAR-ljus;;;;Biospherical Instruments Inc.;QSP-2200;;2014;;400–700 nm;< 5%;;
//INFORMATION;Information om instrumenthantering, datahantering; processering, beskrivning, kvalitetskontroll etc, kommentarer på datakvalité m.m.
//INFORMATION;(förslagsvis på engelska för att att nå ut till fler användare av data)
//INSTRUMENT_METADATA;SSDA Sea & Sun Technology's Standard Data Acquisition software package rev 2.06F Rinko3_2 21.02.2011
//INSTRUMENT_METADATA;Q:\SONDFIL\SONDPROGRAM\CTM469\CONFIG\CTM469.SPJ
//INSTRUMENT_METADATA;den 18 april 2018 08:06:28
//INSTRUMENT_METADATA;StandardDataAcquisition SDA (C)opyright by T. Finger 1999-2010
//INSTRUMENT_METADATA;001 CTM469 001  N  Vbatt  Volt -1.57019000000E+0001  5.02835000000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 002  P  Press  dbar -2.69402000000E+0001  8.77593600000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 -5.07080768000E-0001 
//INSTRUMENT_METADATA;001 CTM469 003  N   Temp    °C -2.25639400000E+0000  5.87412100000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 004  N   Cond mS/cm -1.07553900000E-0001  1.04903100000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 005 VO3 rawO2  Volt -5.25505000000E-0003  7.87539000000E-0005  0.00000000000E+0000  0.00000000000E+0000 -3.54000000000E+0000  9.03349843000E-0001 
//INSTRUMENT_METADATA;001 CTM469 006 N24  T_i    °C  -7.54696000000E-0003  7.86676000000E-0005 -7.44454600000E+0000  1.66832200000E+0001 -2.17022200000E+0000  4.67942400000E-0001 
//INSTRUMENT_METADATA;001 CTM469 007 NFC   PAR   µE  -2.35158000000E-0002  7.88022000000E-0005  0.00000000000E+0000  0.00000000000E+0000 -2.21000000000E+0000  1.68932000000E+0003 
//INSTRUMENT_METADATA;Q:\Sondfil\CTD469\By311804162.SRD
//INSTRUMENT_METADATA;Lines :       1765
//INSTRUMENT_METADATA;;
//INSTRUMENT_METADATA;; Datasets      IntD      IntT    Press     Temp     Cond    SALIN    SIGMA       DO    DO_mg    DO_ml      PAR    Vbatt   Press 
//INSTRUMENT_METADATA;;             [ Date]   [ Time]  [ dbar]  [   °C]  [mS/cm]  [  PSU]  [kg/m3]  [    %]  [ mg/l]  [ ml/l]  [  µE ]  [ Volt] [ dbar]
//INSTRUMENT_METADATA;;
//INSTRUMENT_METADATA;          1 2018-04-16 08:16:46     0.09    3.766   -0.035    0.026   -0.004  -258.12   -33.98   -23.79   315.23    10.28    3022
YEAR	MONTH	DAY	HOUR	MINUTE	SECOND	CRUISE	STATION	LATITUDE_DD	LONGITUDE_DD	PRES_CTD []	Q_PRES_CTD	TEMP_CTD []	Q_TEMP_CTD	CNDC_CTD []	Q_CNDC_CTD	DOXY_CTD []	Q_DOXY_CTD	PAR_CTD []	Q_PAR_CTD	tryck []	Q_tryck	temperatur []	Q_temperatur	konduktivitet []	Q_konduktivitet	syre []	Q_syre	PAR-ljus []	Q_PAR-ljus
2018	04	16	08	16	00	2018_77FY_	BY31	58.58333	18.23333	0.09		3.766		-0.035		-23.79		315.23											
2018	04	16	08	16	00	2018_77FY_	BY31	58.58333	18.23333	0.32		2.833		7.139		9.89		656.69											
2018	04	16	08	16	00	2018_77FY_	BY31	58.58333	18.23333	0.61		2.832		7.140		9.89		242.28											
2018	04	16	08	16	00	2018_77FY_	BY31	58.58333	18.23333	0.86		2.830		7.139		9.89		214.19											
2018	04	16	08	16	00	2018_77FY_	BY31	58.58333	18.23333	1.07		2.832		7.140		9.89		194.76											
2018	04	16	08	16	00	2018_77FY_	BY31	58.58333	18.23333	1.35		2.832		7.140		9.89		175.05											
2018	04	16	08	16	00	2018_77FY_	BY31	58.58333	18.23333	1.61		2.829		7.139		9.89		155.48											
2018	04	16	08	16	00	2018_77FY_	BY31	58.58333	18.23333	1.91		2.826		7.140		9.89		141.91											
2018	04	16	08	16	00	2018_77FY_	BY31	58.58333	18.23333	2.10		2.832		7.139		9.89		134.32											
2018	04	16	08	16	00	2018_77FY_	BY31	58.58333	18.23333	2.36		2.833		7.140		9.89		117.81											
2018	04	16	08	16	00	2018_77FY_	BY31	58.58333	18.23333	2.61		2.832		7.140		9.89		106.89											
2018	04	16	08	16	00	2018_77FY_	BY31	58.58333	18.23333	2.83		2.831		7.140		9.89		99.04											
2018	04	16	08	16	00	2018_77FY_	BY31	58.58333	18.23333	3.07		2.828		7.140		9.90		91.19											
2018	04	16	08	16	00	2018_77FY_	BY31	58.58333	18.23333	3.33		2.824		7.139		9.89		82.80											
2018	04	16	08	16	00	2018_77FY_	BY31	58.58333	18.23333	3.60		2.824		7.140		9.89		77.47											
2018	04	16	08	16	00	2018_77FY_	BY31	58.58333	18.23333	3.89		2.826		7.140		9.88		70.02											
2018	04	16	08	16	00	2018_77FY_	BY31	58.58333	18.23333	4.07		2.826		7.140		9.88		66.16											
2018	04	16	08	16	00	2018_77FY_	BY31	58.58333	18.23333	4.37		2.827		7.139		9.88		60.30											
2018	04	16	08	16	00	2018_77FY_	BY31	58.58333	18.23333	4.61		2.831		7.140		9.87		56.97											
2018	04	16	08	16	00	2018_77FY_	BY31	58.58333	18.23333	4.84		2.832		7.139		9.88		53.11											
2018	04	16	08	16	00	2018_77FY_	BY31	58.58333	18.23333	5.09		2.834		7.139		9.88		49.25											
2018	04	16	08	16	00	2018_77FY_	BY31	58.58333	18.23333	5.34		2.833		7.140		9.89		45.92											
2018	04	16	08	16	00	2018_77FY_	BY31	58.58333	18.23333	5.61		2.833		7.140		9.88		42.33											
2018	04	16	08	16	00	2018_77FY_	BY31	58.58333	18.23333	5.84		2.835		7.140		9.88		39.80											
2018	04	16	08	16	00	2018_77FY_	BY31	58.58333	18.23333	6.10		2.837		7.140		9.89		36.74											
2018	04	16	08	16	00	2018_77FY_	BY31	58.58333	18.23333	6.36		2.835		7.139		9.89		34.08											
2018	04	16	08	16	00	2018_77FY_	BY31	58.58333	18.23333	6.62		2.835		7.140		9.89		32.08											
2018	04	16	08	16	00	2018_77FY_	BY31	58.58333	18.23333	6.84		2.835		7.140		9.89		29.95											
2018	04	16	08	16	00	2018_77FY_	BY31	58.58333	18.23333	7.10		2.836		7.140		9.89		27.82											
2018	04	16	08	16	00	2018_77FY_	BY31	58.58333	18.23333	7.34		2.835		7.140		9.89		26.22											
2018	04	16	08	16	00	2018_77FY_	BY31	58.58333	18.23333	7.64		2.834		7.140		9.89		24.49											
2018	04	16	08	16	00	2018_77FY_	BY31	58.58333	18.23333	7.86		2.835		7.140		9.89		23.29											
2018	04	16	08	16	00	2018_77FY_	BY31	58.58333	18.23333	8.11		2.836		7.140		9.89		22.10											
2018	04	16	08	16	00	2018_77FY_	BY31	58.58333	18.23333	8.35		2.835		7.140		9.89		20.90											
2018	04	16	08	16	00	2018_77FY_	BY31	58.58333	18.23333	8.64		2.835		7.141		9.89		19.57											
2018	04	16	08	16	00	2018_77FY_	BY31	58.58333	18.23333	8.83		2.835		7.140		9.89		18.63											
2018	04	16	08	16	00	2018_77FY_	BY31	58.58333	18.23333	9.11		2.834		7.141		9.89		17.44											
2018	04	16	08	16	00	2018_77FY_	BY31	58.58333	18.23333	9.33		2.835		7.140		9.88		16.64											
2018	04	16	08	16	00	2018_77FY_	BY31	58.58333	18.23333	9.62		2.835		7.140		9.89		15.84											
2018	04	16	08	16	00	2018_77FY_	BY31	58.58333	18.23333	9.85		2.834		7.140		9.89		15.04											
2018	04	16	08	16	00	2018_77FY_	BY31	58.58333	18.23333	10.14		2.835		7.140		9.89		14.24											
2018	04	16	08	16	00	2018_77FY_	BY31	58.58333	18.23333	10.36		2.835		7.141		9.89		13.71											
2018	04	16	08	16	00	2018_77FY_	BY31	58.58333	18.23333	10.62		2.834		7.140		9.89		13.04											
2018	04	16	08	16	00	2018_77FY_	BY31	58.58333	18.23333	10.82		2.824		7.140		9.89		12.51											
2018	04	16	08	16	00	2018_77FY_	BY31	58.58333	18.23333	11.09		2.829		7.140		9.87		11.98											
2018	04	16	08	16	00	2018_77FY_	BY31	58.58333	18.23333	11.35		2.831		7.140		9.86		11.45											
2018	04	16	08	16	00	2018_77FY_	BY31	58.58333	18.23333	11.59		2.818		7.140		9.85		10.91											
2018	04	16	08	16	00	2018_77FY_	BY31	58.58333	18.23333	11.83		2.805		7.140		9.84		10.51											
2018	04	16	08	16	00	2018_77FY_	BY31	58.58333	18.23333	12.09		2.798		7.139		9.84		10.12											
2018	04	16	08	16	00	2018_77FY_	BY31	58.58333	18.23333	12.37		2.794		7.139		9.82		9.58											
2018	04	16	08	16	00	2018_77FY_	BY31	58.58333	18.23333	12.64		2.791		7.139		9.79		9.32											
2018	04	16	08	16	00	2018_77FY_	BY31	58.58333	18.23333	12.85		2.792		7.139		9.77		9.18											
2018	04	16	08	16	00	2018_77FY_	BY31	58.58333	18.23333	13.08		2.789		7.139		9.76		8.78											
2018	04	16	08	16	00	2018_77FY_	BY31	58.58333	18.23333	13.38		2.788		7.138		9.76		8.65											
2018	04	16	08	16	00	2018_77FY_	BY31	58.58333	18.23333	13.61		2.782		7.137		9.76		8.38											
2018	04	16	08	16	00	2018_77FY_	BY31	58.58333	18.23333	13.85		2.774		7.137		9.77		8.12											
2018	04	16	08	16	00	2018_77FY_	BY31	58.58333	18.23333	14.10		2.770		7.136		9.77		7.99											
2018	04	16	08	16	00	2018_77FY_	BY31	58.58333	18.23333	14.32		2.770		7.136		9.77		7.72											
2018	04	16	08	16	00	2018_77FY_	BY31	58.58333	18.23333	14.62		2.768		7.136		9.76		7.45											
2018	04	16	08	16	00	2018_77FY_	BY31	58.58333	18.23333	14.83		2.766		7.136		9.76		7.32											
2018	04	16	08	16	00	2018_77FY_	BY31	58.58333	18.23333	15.12		2.767		7.136		9.76		7.19											
2018	04	16	08	16	00	2018_77FY_	BY31	58.58333	18.23333	15.38		2.767		7.137		9.75		7.05											
2018	04	16	08	16	00	2018_77FY_	BY31	58.58333	18.23333	15.58		2.766		7.136		9.75		6.92											
