MYEAR	PROJ	ORDERER	SLABO	ALABO	SDATE	STIME	EDATE	ETIME	SHIPC	CRUISE_NO	SERNO	STATN	LATIT	LONGI	POSYS	WADEP	COMNT_VISIT	ADD_SMP	SMTYP	INSTRUMENT_ID	REFSK_SMP	REV_DATE	FILE_NAME	FILE_NAME_DATABASE	WINDIR	WINSP	AIRTEMP	AIRPRES	WEATH	CLOUD	WAVES	ICEOB
2019	PBX	YLST	UMSC	UMSC	2019-02-21	10:37			7774	7	0001	SNf19	6303.65	1821.90	GPS	12			CTD	SBE7668	HC-C-C2		Nf19_v08_19.cnv	ctd_profile_20190221_7774_0001.txt	0	0			1	4		8
2019	PBX	YLST	UMSC	UMSC	2019-02-21	11:36			7774	7	0002	SNf20	6303.72	1825.59	GPS	15			CTD	SBE7668	HC-C-C2		Nf20_v08_19.cnv	ctd_profile_20190221_7774_0002.txt	0	0			1	5		8
2019	PBX	YLST	UMSC	UMSC	2019-02-21	13:33			7774	7	0003	SDo19	6302.36	1819.91	GPS	16	Stationen flyttas ca 120m ut från land för att få tillräckligt djup		CTD	SBE7668	HC-C-C2		Do19_v08_19.cnv	ctd_profile_20190221_7774_0003.txt	1	1			1	6		8
2019	PBX	YLST	UMSC	UMSC	2019-02-21	14:14			7774	7	0004	SDo20	6302.89	1819.94	GPS	12			CTD	SBE7668	HC-C-C2		Do20_v08_19.cnv	ctd_profile_20190221_7774_0004.txt	1	2			1	6		8
2019	BAS	HAV	UMSC	UMSC	2019-03-25	11:23			7798	9	0001	B3	6329.92	1949.27	GPS	26	Metallprov och DOC på 7m. Slangprovet poolades (1, 2,5, 5, 7 samt 10 m).		CTD	SBE7668	HC-C-C2		B3_v13_19.cnv	ctd_profile_20190325_7798_0001.txt	1	7			1	4	2	0
2019	RNE	HAV	UMSC	UMSC	2019-03-28	08:26			7798	10	0002	RA2	6543.79	2226.80	GPS	13	Metallprov och DOC på 7m. Slangprovet poolades (1, 2.5, 5, 7,5 samt 10 m).		CTD	SBE7668	HC-C-C2		RA2_v13_19.cnv	ctd_profile_20190328_7798_0002.txt	27	8			2	7		8
2019	RNE	HAV	UMSC	UMSC	2019-03-28	09:29			7798	10	0003	RA1	6548.45	2222.50	GPS	8	Metallprov och DOC på 5m. Slangprovet poolades (1, 2,5 samt 5 m).		CTD	SBE7668	HC-C-C2		RA1_v13_19.cnv	ctd_profile_20190328_7798_0003.txt	27	5			2	7		8
2019	RNE	HAV	UMSC	UMSC	2019-12-19	09:30			7798	27	0004	RA2	6543.81	2226.80	GPS	13			CTD	SBE4644	HC-C-C2		RA2_v51_19.cnv	ctd_profile_20191219_7798_0004.txt	27	4			1	2		8
2019	BAS	HAV	UMSC	UMSC	2019-10-08	08:48			77GA	23	0001	B7	6331.49	1948.48	GPS	22			CTD	SBE7668	HC-C-C2		B7_v41_19.cnv	ctd_profile_20191008_77GA_0001.txt	2	6			2	7	1	0
2019	BAS	HAV	UMSC	UMSC	2019-02-15	11:43			77K2	6	0001	B3	6329.79	1949.26	GPS	27	Provtagning från svävare, dålig is, ej exakt position. Metallprov och DOC på 7m.		CTD	SBE7668	HC-C-C2		B3_v07_19.cnv	ctd_profile_20190215_77K2_0001.txt	27	7			1	1		6
2019	BAS	HAV	UMSC	UMSC	2019-02-26	09:58			77K2	8	0002	B7	6331.54	1948.50	GPS	23	Metallprov och DOC på 7m.		CTD	SBE7668	HC-C-C2		B7_v09_19.cnv	ctd_profile_20190226_77K2_0002.txt	1	3			1	4	1	0
2019	BAS	HAV	UMSC	UMSC	2019-04-15	18:30			77K9	12	0001	A13	6442.50	2204.01	GPS	126	Strul med båda vischerna. CTD + max taget med däckskran, övriga med vinschen på labb. Metallprov och DOC på 7m. Alkalinitet på slangprovet.		CTD	SBE7668	HC-C-C2		A13_v16_19.cnv	ctd_profile_20190415_77K9_0001.txt	15	2			1	1	0	1
